suite,label,algorithm,graph_family,n,c,m0,m,representation,threads,nr_graphs,nr_runs,mean_time_ms,graph_std_ms,mean_run_std_ms
1,uniform_100000_c10,Sequential CSR,uniform_sparse,100000,10,10,5,csr,0,10,5,0.41998,0.00918668,0.0630897
1,uniform_100000_c10,Luby 16t CSR,uniform_sparse,100000,10,10,5,csr,16,10,5,0.96478,0.100041,0.116702
1,uniform_100000_c10,Luby Improved 16t CSR,uniform_sparse,100000,10,10,5,csr,16,10,5,0.63776,0.00925865,0.0440408
1,uniform_100000_c10,Luby GPU CSR,uniform_sparse,100000,10,10,5,csr,24,10,5,5.2152,12.2987,8.77177
1,scale_free_100000,Sequential CSR,scale_free,100000,10,10,5,csr,0,10,5,0.52102,0.0097381,0.024029
1,scale_free_100000,Luby 16t CSR,scale_free,100000,10,10,5,csr,16,10,5,0.80954,0.0367751,0.0382686
1,scale_free_100000,Luby Improved 16t CSR,scale_free,100000,10,10,5,csr,16,10,5,0.5394,0.00326735,0.0149149
1,scale_free_100000,Luby GPU CSR,scale_free,100000,10,10,5,csr,24,10,5,1.04832,0.0248024,0.0544114
1,uniform_500000_c10,Sequential CSR,uniform_sparse,500000,10,10,5,csr,0,10,5,2.30976,0.0311168,0.214549
1,uniform_500000_c10,Luby 16t CSR,uniform_sparse,500000,10,10,5,csr,16,10,5,5.99528,0.0916063,0.185052
1,uniform_500000_c10,Luby Improved 16t CSR,uniform_sparse,500000,10,10,5,csr,16,10,5,2.94982,0.0214151,0.169119
1,uniform_500000_c10,Luby GPU CSR,uniform_sparse,500000,10,10,5,csr,24,10,5,6.08052,0.0511213,0.217062
1,scale_free_500000,Sequential CSR,scale_free,500000,10,10,5,csr,0,10,5,2.58754,0.0281212,0.0882876
1,scale_free_500000,Luby 16t CSR,scale_free,500000,10,10,5,csr,16,10,5,4.23808,0.111825,0.221691
1,scale_free_500000,Luby Improved 16t CSR,scale_free,500000,10,10,5,csr,16,10,5,2.32228,0.0183938,0.0726872
1,scale_free_500000,Luby GPU CSR,scale_free,500000,10,10,5,csr,24,10,5,4.14112,0.049311,0.244521
1,uniform_1000000_c10,Sequential CSR,uniform_sparse,1000000,10,10,5,csr,0,10,5,4.90676,0.0596731,0.0863396
1,uniform_1000000_c10,Luby 16t CSR,uniform_sparse,1000000,10,10,5,csr,16,10,5,14.9088,0.0816694,0.134558
1,uniform_1000000_c10,Luby Improved 16t CSR,uniform_sparse,1000000,10,10,5,csr,16,10,5,6.70644,0.017735,0.111558
1,uniform_1000000_c10,Luby GPU CSR,uniform_sparse,1000000,10,10,5,csr,24,10,5,12.1489,0.041905,0.0739983
1,scale_free_1000000,Sequential CSR,scale_free,1000000,10,10,5,csr,0,10,5,5.0946,0.0760397,0.100903
1,scale_free_1000000,Luby 16t CSR,scale_free,1000000,10,10,5,csr,16,10,5,10.267,0.147721,0.168397
1,scale_free_1000000,Luby Improved 16t CSR,scale_free,1000000,10,10,5,csr,16,10,5,4.75278,0.0178135,0.049015
1,scale_free_1000000,Luby GPU CSR,scale_free,1000000,10,10,5,csr,24,10,5,8.24974,0.0655807,0.136231
1,uniform_5000000_c10,Sequential CSR,uniform_sparse,5000000,10,10,5,csr,0,10,5,34.6755,0.240456,0.220887
1,uniform_5000000_c10,Luby 16t CSR,uniform_sparse,5000000,10,10,5,csr,16,10,5,117.757,1.92647,5.16429
1,uniform_5000000_c10,Luby Improved 16t CSR,uniform_sparse,5000000,10,10,5,csr,16,10,5,40.62,0.112408,1.17935
1,uniform_5000000_c10,Luby GPU CSR,uniform_sparse,5000000,10,10,5,csr,24,10,5,66.4825,0.649402,0.361281
1,scale_free_5000000,Sequential CSR,scale_free,5000000,10,10,5,csr,0,10,5,28.5915,1.55912,0.28326
1,scale_free_5000000,Luby 16t CSR,scale_free,5000000,10,10,5,csr,16,10,5,77.3555,0.319368,0.234812
1,scale_free_5000000,Luby Improved 16t CSR,scale_free,5000000,10,10,5,csr,16,10,5,27.3052,0.0448426,0.106081
1,scale_free_5000000,Luby GPU CSR,scale_free,5000000,10,10,5,csr,24,10,5,40.8443,0.852379,0.669809
