suite,label,algorithm,graph_family,n,c,m0,m,representation,threads,nr_graphs,nr_runs,mean_time_ms,graph_std_ms,mean_run_std_ms
2,uniform_5m_c10,Luby 1t CSR,uniform_sparse,5000000,10,10,5,csr,1,10,5,493.054,7.88576,9.39773
2,uniform_5m_c10,Luby Improved 1t CSR,uniform_sparse,5000000,10,10,5,csr,1,10,5,287.992,4.14017,10.9257
2,uniform_5m_c10,Luby 2t CSR,uniform_sparse,5000000,10,10,5,csr,2,10,5,301.516,6.11179,2.23967
2,uniform_5m_c10,Luby Improved 2t CSR,uniform_sparse,5000000,10,10,5,csr,2,10,5,150.764,1.73295,2.02926
2,uniform_5m_c10,Luby 3t CSR,uniform_sparse,5000000,10,10,5,csr,3,10,5,228.031,0.794269,1.07386
2,uniform_5m_c10,Luby Improved 3t CSR,uniform_sparse,5000000,10,10,5,csr,3,10,5,110.71,3.84189,1.54366
2,uniform_5m_c10,Luby 4t CSR,uniform_sparse,5000000,10,10,5,csr,4,10,5,187.353,1.43551,1.34731
2,uniform_5m_c10,Luby Improved 4t CSR,uniform_sparse,5000000,10,10,5,csr,4,10,5,85.5384,2.73553,1.07751
2,uniform_5m_c10,Luby 6t CSR,uniform_sparse,5000000,10,10,5,csr,6,10,5,146.233,0.987222,1.11936
2,uniform_5m_c10,Luby Improved 6t CSR,uniform_sparse,5000000,10,10,5,csr,6,10,5,62.417,1.83123,0.973833
2,uniform_5m_c10,Luby 8t CSR,uniform_sparse,5000000,10,10,5,csr,8,10,5,128.792,1.44459,1.87958
2,uniform_5m_c10,Luby Improved 8t CSR,uniform_sparse,5000000,10,10,5,csr,8,10,5,51.3517,0.528428,0.963723
2,uniform_5m_c10,Luby 10t CSR,uniform_sparse,5000000,10,10,5,csr,10,10,5,129.503,2.05305,1.38723
2,uniform_5m_c10,Luby Improved 10t CSR,uniform_sparse,5000000,10,10,5,csr,10,10,5,46.196,0.260049,0.773845
2,uniform_5m_c10,Luby 12t CSR,uniform_sparse,5000000,10,10,5,csr,12,10,5,124.415,0.95805,1.01929
2,uniform_5m_c10,Luby Improved 12t CSR,uniform_sparse,5000000,10,10,5,csr,12,10,5,44.0239,0.882102,0.914988
2,uniform_5m_c10,Luby 16t CSR,uniform_sparse,5000000,10,10,5,csr,16,10,5,120.382,3.21776,3.70642
2,uniform_5m_c10,Luby Improved 16t CSR,uniform_sparse,5000000,10,10,5,csr,16,10,5,39.7997,0.493058,0.667217
2,scale_free_5m,Luby 1t CSR,scale_free,5000000,10,10,5,csr,1,10,5,339.566,10.2279,3.30191
2,scale_free_5m,Luby Improved 1t CSR,scale_free,5000000,10,10,5,csr,1,10,5,200.681,1.4486,4.91338
2,scale_free_5m,Luby 2t CSR,scale_free,5000000,10,10,5,csr,2,10,5,218.981,4.41133,3.95848
2,scale_free_5m,Luby Improved 2t CSR,scale_free,5000000,10,10,5,csr,2,10,5,109.785,0.832301,1.00861
2,scale_free_5m,Luby 3t CSR,scale_free,5000000,10,10,5,csr,3,10,5,158.986,0.894508,2.28489
2,scale_free_5m,Luby Improved 3t CSR,scale_free,5000000,10,10,5,csr,3,10,5,78.4897,0.476027,1.05453
2,scale_free_5m,Luby 4t CSR,scale_free,5000000,10,10,5,csr,4,10,5,132.086,3.43332,2.16262
2,scale_free_5m,Luby Improved 4t CSR,scale_free,5000000,10,10,5,csr,4,10,5,62.1883,1.15817,1.26651
2,scale_free_5m,Luby 6t CSR,scale_free,5000000,10,10,5,csr,6,10,5,100.567,0.452333,0.975579
2,scale_free_5m,Luby Improved 6t CSR,scale_free,5000000,10,10,5,csr,6,10,5,44.9647,0.157576,1.02969
2,scale_free_5m,Luby 8t CSR,scale_free,5000000,10,10,5,csr,8,10,5,87.4944,0.441254,0.646564
2,scale_free_5m,Luby Improved 8t CSR,scale_free,5000000,10,10,5,csr,8,10,5,36.4034,0.295984,0.960781
2,scale_free_5m,Luby 10t CSR,scale_free,5000000,10,10,5,csr,10,10,5,88.0709,0.427228,0.499126
2,scale_free_5m,Luby Improved 10t CSR,scale_free,5000000,10,10,5,csr,10,10,5,32.8951,0.21533,1.0454
2,scale_free_5m,Luby 12t CSR,scale_free,5000000,10,10,5,csr,12,10,5,82.3597,0.708405,0.443846
2,scale_free_5m,Luby Improved 12t CSR,scale_free,5000000,10,10,5,csr,12,10,5,30.5902,0.161089,1.02416
2,scale_free_5m,Luby 16t CSR,scale_free,5000000,10,10,5,csr,16,10,5,75.6691,0.255924,0.382251
2,scale_free_5m,Luby Improved 16t CSR,scale_free,5000000,10,10,5,csr,16,10,5,28.2116,0.524372,0.967712
