suite,label,algorithm,graph_family,n,c,m0,m,representation,threads,nr_graphs,nr_runs,mean_time_ms,graph_std_ms,mean_run_std_ms
3,uniform_5m_c1,Sequential CSR,uniform_sparse,5000000,1,10,5,csr,0,10,5,31.8961,0.806488,1.58647
3,uniform_5m_c1,Luby 16t CSR,uniform_sparse,5000000,1,10,5,csr,16,10,5,47.6584,0.404864,1.44787
3,uniform_5m_c1,Luby Improved 16t CSR,uniform_sparse,5000000,1,10,5,csr,16,10,5,16.9344,0.358349,1.24189
3,uniform_5m_c1,Luby GPU CSR,uniform_sparse,5000000,1,10,5,csr,24,10,5,28.9346,11.8604,9.3901
3,uniform_5m_c2,Sequential CSR,uniform_sparse,5000000,2,10,5,csr,0,10,5,27.5082,0.765776,0.469275
3,uniform_5m_c2,Luby 16t CSR,uniform_sparse,5000000,2,10,5,csr,16,10,5,64.5012,5.64374,2.40321
3,uniform_5m_c2,Luby Improved 16t CSR,uniform_sparse,5000000,2,10,5,csr,16,10,5,19.9628,0.0725039,0.715353
3,uniform_5m_c2,Luby GPU CSR,uniform_sparse,5000000,2,10,5,csr,24,10,5,28.4627,0.479186,0.47956
3,uniform_5m_c5,Sequential CSR,uniform_sparse,5000000,5,10,5,csr,0,10,5,29.3123,2.6651,0.683471
3,uniform_5m_c5,Luby 16t CSR,uniform_sparse,5000000,5,10,5,csr,16,10,5,86.6423,2.58692,0.656006
3,uniform_5m_c5,Luby Improved 16t CSR,uniform_sparse,5000000,5,10,5,csr,16,10,5,27.4206,0.0629995,0.959089
3,uniform_5m_c5,Luby GPU CSR,uniform_sparse,5000000,5,10,5,csr,24,10,5,40.511,1.06321,0.802943
3,uniform_5m_c10,Sequential CSR,uniform_sparse,5000000,10,10,5,csr,0,10,5,34.8852,0.442716,0.294053
3,uniform_5m_c10,Luby 16t CSR,uniform_sparse,5000000,10,10,5,csr,16,10,5,114.114,1.09859,1.41412
3,uniform_5m_c10,Luby Improved 16t CSR,uniform_sparse,5000000,10,10,5,csr,16,10,5,39.7831,0.0878393,0.906735
